Rank,Game,Release,genre1,genre2,genre3,Score
1,The Witcher 3: Wild Hunt - Game of the Year Edition,30/08/2016,Action,RPG,Open World,9.7
2,Persona 5 Royal,31/03/2020,RPG,JRPG,Anime,9.6
3,God of War,20/04/2018,Action,Adventure,Hack and Slash,9.6
4,Persona 5,04/04/2017,RPG,Simulation,JRPG,9.5
5,The Last Of Us Remastered,29/07/2014,Action,Adventure,Horror,9.5
6,God of War Ragnarok,09/11/2022,Action,Adventure,Hack and Slash,9.4
7,Undertale,15/08/2017,RPG,Single-player,,9.4
8,Uncharted 4: A Thief's End,10/05/2016,Action,Adventure,Coop,9.4
9,DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,04/12/2020,Action,RPG,JRPG,9.4
10,Red Dead Redemption 2,26/10/2018,Action,Adventure,Open World,9.4
11,Resident Evil 4 (2023),24/03/2023,Action,Adventure,Horror,9.4
12,The Witcher 3: Wild Hunt,19/05/2015,Action,Adventure,RPG,9.4
13,Journey,21/07/2015,Adventure,Coop,Multiplayer,9.3
14,Resident Evil 2,25/01/2019,Action,Adventure,Horror,9.3
15,Grand Theft Auto V,18/11/2014,Action,Adventure,Open World,9.3
16,Metal Gear Solid V: The Phantom Pain,01/09/2015,Action,Adventure,Open World,9.3
17,Elden Ring,25/02/2022,Action,RPG,Open World,9.3
18,COCOON,29/09/2023,Adventure,Puzzle,Platformer,9.3
19,Shovel Knight: Treasure Trove,21/04/2015,Action,Platformer,Local-coop,9.3
20,Hades,13/08/2021,Action,RPG,Dungeon Crawler,9.3
21,Final Fantasy VII,05/12/2015,Action,RPG,JRPG,9.2
22,Quake,19/08/2021,Action,Arcade,Shooter,9.2
23,Night in the Woods,21/02/2017,Action,Adventure,Point & Click,9.2
24,INSIDE,23/08/2016,Adventure,Puzzle,Platformer,9.2
25,Horizon Forbidden West,18/02/2022,Action,Adventure,RPG,9.2
26,Bloodborne,24/03/2015,Action,RPG,Hack and Slash,9.2
27,Slay the Spire,21/05/2019,Card,RPG,Strategy,9.2
28,Pistol Whip,30/07/2020,Action,Rhythm,Shooter,9.2
29,Persona 4 Golden,19/01/2023,RPG,Simulation,JRPG,9.2
30,Divinity: Original Sin 2 - Definitive Edition,31/08/2018,RPG,Open World,Turn-based RPG,9.2
31,DJMax Respect,06/03/2018,Rhythm,Multiplayer,Single-player,9.2
32,ENDER LILIES: Quietus of the Knights,20/07/2021,Action,Adventure,Open World,9.2
33,Celeste,25/01/2018,Platformer,Cozy,Single-player,9.2
34,NieR Automata - Game of the YoRHa Edition,26/02/2019,Action,RPG,JRPG,9.2
35,Stardew Valley,13/12/2016,RPG,Simulation,Cozy,9.2
36,Horizon Zero Dawn,28/02/2017,Action,Adventure,RPG,9.2
37,Mortal Kombat 11 Ultimate,17/11/2020,Action,Fighting,Multiplayer,9.2
38,The Talos Principle: Deluxe Edition,13/10/2015,Adventure,Puzzle,Strategy,9.2
39,It Takes Two,26/03/2021,Action,Adventure,RPG,9.2
40,OKAMI HD,12/12/2017,Action,Adventure,Single-player,9.2
41,Dark Souls III,12/04/2016,Action,RPG,Hack and Slash,9.2
42,Ghost of Tsushima Director's Cut,20/08/2021,Action,Adventure,Hack and Slash,9.1
43,Mass Effect Legendary Edition,14/05/2021,Action,RPG,Single-player,9.1
44,Devil May Cry 5,08/03/2019,Action,Adventure,Hack and Slash,9.1
45,Final Fantasy VII Remake,10/04/2020,Action,RPG,JRPG,9.1
46,FINAL FANTASY IX Digital Edition,19/09/2017,RPG,JRPG,Anime,9.1
47,Monster Hunter: World,26/01/2018,Action,RPG,JRPG,9.1
48,Ghost of Tsushima,17/07/2020,Action,Adventure,Hack and Slash,9.1
49,Psychonauts 2,25/08/2021,Action,Platformer,Single-player,9.1
50,Hollow Knight Voidheart Edition,25/09/2018,Action,Adventure,Metroidvania,9.1
51,Rez Infinite,13/10/2016,Rhythm,Single-player,,9.1
52,Marvel's Spider-Man: Miles Morales,12/11/2020,Action,Adventure,Open World,9.1
53,Disco Elysium: The Final Cut,30/03/2021,Adventure,RPG,Open World,9.1
54,THEATRHYTHM FINAL BAR LINE,16/02/2023,Rhythm,Coop,Multiplayer,9.1
55,Odin Sphere: Leifthrasir,07/06/2016,Action,RPG,Hack and Slash,9.1
56,Marvel's Spider-Man,07/09/2018,Action,Adventure,Beat 'em up,9.1
57,Batman: Arkham Knight,23/06/2015,Action,Adventure,Beat 'em up,9.1
58,The Last of Us: Part II,19/06/2020,Action,Adventure,Simulation,9.1
59,Street Fighter 6,02/06/2023,Action,Beat 'em up,Fighting,9.1
60,Fallout 4,10/11/2015,Action,RPG,Open World,9.1
61,DOOM Eternal,20/03/2020,Action,Multiplayer,Single-player,9.1
62,Manifold Garden,18/08/2020,Adventure,Puzzle,Single-player,9.0
63,Diablo III: Ultimate Evil Edition,19/08/2014,Action,RPG,Hack and Slash,9.0
64,Dead Cells,07/08/2018,Action,Metroidvania,Platformer,9.0
65,Chained Echoes,08/12/2022,RPG,JRPG,Single-player,9.0
66,Moss,27/02/2018,Action,Adventure,Puzzle,9.0
67,Dragon Age: Inquisition,18/11/2014,Action,RPG,Open World,9.0
68,Flower,15/11/2013,Action,Adventure,Rhythm,9.0
69,Nex Machina,20/06/2017,Shoot 'em up,Coop,Local-coop,9.0
70,The Legend of Heroes: Trails to Azure,14/03/2023,RPG,JRPG,Single-player,9.0
71,Ni no Kuni: Wrath of the White Witch Remastered,20/09/2019,RPG,JRPG,Anime,9.0
72,Sea of Stars,29/08/2023,Adventure,RPG,Turn-based RPG,9.0
73,Beat Saber,20/11/2018,Rhythm,Single-player,,9.0
74,Dragon Quest XI: Echoes of an Elusive Age,04/09/2018,RPG,JRPG,Anime,9.0
75,Teenage Mutant Ninja Turtles: Shredder's Revenge,16/06/2022,Action,Adventure,Beat 'em up,9.0
76,Shadow of the Colossus,06/02/2018,Action,Adventure,Single-player,9.0
77,Tetris Effect,09/11/2018,Arcade,Puzzle,Single-player,9.0
78,Spiritfarer,18/08/2020,Action,Adventure,Simulation,9.0
79,Yakuza: Like a Dragon,10/11/2020,Action,RPG,Beat 'em up,9.0
80,VA-11 Hall-A: Cyberpunk Bartender Action,02/05/2019,Adventure,Simulation,Visual novel,9.0
81,What Remains of Edith Finch,25/04/2017,Adventure,Single-player,,9.0
82,Ghost Trick: Phantom Detective,30/06/2023,Adventure,Puzzle,Single-player,9.0
83,FROSTPUNK: CONSOLE EDITION,11/10/2019,Simulation,Strategy,City Building,9.0
84,Uncharted: The Lost Legacy,22/08/2017,Action,Adventure,Stealth,9.0
85,NieR: Automata,07/03/2017,Action,RPG,Hack and Slash,9.0
86,Rayman Legends,18/02/2014,Platformer,Coop,Local-coop,9.0
87,13 Sentinels: Aegis Rim,22/09/2020,Adventure,RPG,Simulation,9.0
88,Steins;Gate Elite,19/02/2019,Adventure,Visual novel,Single-player,9.0
89,Dark Souls Remastered,25/05/2018,Action,RPG,Hack and Slash,9.0
90,Skullgirls 2nd Encore,07/07/2015,Arcade,Fighting,Local Multiplayer,9.0
91,Yakuza 0,24/01/2017,Action,Adventure,Beat 'em up,9.0
92,Dark Souls II: Scholar of the First Sin,07/04/2015,Action,RPG,Hack and Slash,9.0
93,Streets of Rage 4,30/04/2020,Arcade,Beat 'em up,Fighting,8.9
94,Crash Bandicoot 4: It's About Time,02/10/2020,Action,Platformer,Single-player,8.9
95,Yakuza 6: The Song of Life,17/04/2018,Action,Adventure,Open World,8.9
96,Sayonara Wild Hearts,19/09/2019,Action,Adventure,Rhythm,8.9
97,Risk of Rain 2,30/08/2019,Action,RPG,Platformer,8.9
98,Divinity: Original Sin Enhanced Edition,27/10/2015,RPG,Open World,Coop,8.9
99,Final Fantasy XII: The Zodiac Age,11/07/2017,RPG,JRPG,Single-player,8.9
100,Ys VIII: Lacrimosa of DANA,12/09/2017,Action,RPG,JRPG,8.9
101,Yakuza Kiwami 2,28/08/2018,Action,Adventure,Beat 'em up,8.9
102,Bastion,07/04/2015,Action,RPG,Single-player,8.9
103,Transistor,20/05/2014,Action,RPG,Strategy,8.9
104,Injustice 2: Legendary Edition,27/03/2018,Fighting,Local Multiplayer,Multiplayer,8.9
105,Lost Judgment,24/09/2021,Action,Adventure,Single-player,8.9
106,Doom,13/05/2016,Action,Multiplayer,Offline,8.9
107,Guilty Gear Xrd -REVELATOR-,07/06/2016,Fighting,Anime,Multiplayer,8.9
108,Danganronpa 1 & 2 Reload,14/03/2017,Adventure,Visual novel,Single-player,8.9
109,Fell Seal: Arbiter's Mark,30/04/2019,RPG,Strategy,Turn-based RPG,8.9
110,Guilty Gear Xrd Rev 2,26/05/2017,Fighting,Anime,Multiplayer,8.9
111,Valkyria Chronicles 4,25/09/2018,Action,RPG,Strategy,8.9
112,Titanfall 2,28/10/2016,Military Shooter,Coop,Multiplayer,8.9
113,Nioh 2,13/03/2020,Action,RPG,JRPG,8.9
114,Hellblade: Senua's Sacrifice,08/08/2017,Action,Adventure,Hack and Slash,8.9
115,The Binding of Isaac: Rebirth,04/11/2014,Action,Roguelike,Coop,8.9
116,Yakuza 5 Remastered,11/02/2020,Action,Adventure,Beat 'em up,8.9
117,Bloodstained: Ritual of the Night,18/06/2019,Action,Adventure,RPG,8.9
118,HUNTDOWN,12/05/2020,Action,Platformer,Shoot 'em up,8.9
119,Dragon Quest Builders 2,12/07/2019,Action,Adventure,RPG,8.9
120,ARMORED CORE VI FIRES OF RUBICON,25/08/2023,Action,Adventure,Simulation,8.9
121,Rogue Legacy,29/07/2014,Action,Adventure,Metroidvania,8.9
122,The Legend of Heroes: Trails of Cold Steel III,22/10/2019,RPG,JRPG,Turn-based RPG,8.9
123,Dreams,14/02/2020,Puzzle,Open World,Multiplayer,8.9
124,Outer Wilds,15/10/2019,Action,Adventure,Open World,8.9
125,ASTRO BOT Rescue Mission,02/10/2018,Platformer,Single-player,,8.9
126,Polybius,09/05/2017,Action,Shoot 'em up,Single-player,8.9
127,Resident Evil 7: Biohazard,24/01/2017,Puzzle,Horror,Survival,8.9
128,SteamWorld Dig 2,26/09/2017,Action,Adventure,Metroidvania,8.9
129,The Legend of Heroes: Trails of Cold Steel,26/03/2019,RPG,Single-player,,8.9
130,Guacamelee! Super Turbo Championship Edition,02/07/2014,Beat 'em up,Metroidvania,Platformer,8.9
131,Spelunky 2,15/09/2020,Action,Adventure,Platformer,8.9
132,Battlefield 1,21/10/2016,Military,Military Shooter,Multiplayer,8.9
133,Sackboy: A Big Adventure,12/11/2020,Action,Platformer,Coop,8.9
134,Dishonored 2,11/11/2016,Action,Adventure,Stealth,8.9
135,Guacamelee! 2,21/08/2018,Action,Adventure,Platformer,8.9
136,The Outer Worlds,25/10/2019,Action,RPG,Single-player,8.9
137,Creaks,22/07/2020,Adventure,Puzzle,Platformer,8.9
138,GUILTY GEAR -STRIVE-,11/06/2021,Fighting,Anime,Multiplayer,8.9
139,Owlboy,10/04/2018,Action,Adventure,Puzzle,8.9
140,Pyre,25/07/2017,Action,RPG,Multiplayer,8.9
141,NieR Replicant ver.1.22474487139...,23/04/2021,Action,Adventure,RPG,8.9
142,Rise of the Tomb Raider: 20 Year Celebration,11/10/2016,Action,Adventure,Multiplayer,8.9
143,SEKIRO: Shadows Die Twice,22/03/2019,Action,Adventure,Hack and Slash,8.9
144,Resident Evil Village,07/05/2021,Action,Horror,Survival,8.9
145,AI: THE SOMNIUM FILES - nirvanA Initiative,24/06/2022,Adventure,Visual novel,Single-player,8.9
146,Katamari Damacy REROLL,20/11/2020,Action,Puzzle,Multiplayer,8.9
147,Salt and Sanctuary,15/03/2016,Action,RPG,Metroidvania,8.9
148,Danganronpa V3: Killing Harmony,26/09/2017,Adventure,Visual novel,Single-player,8.9
149,The Coma 2: Vicious Sisters,19/06/2020,Action,Adventure,Puzzle,8.9
150,Subnautica,04/12/2018,Action,Adventure,Open World,8.9
151,Battle Chef Brigade,28/08/2018,Action,Adventure,RPG,8.9
152,Monster Boy and the Cursed Kingdom,04/12/2018,Action,Adventure,Metroidvania,8.9
153,Dragon Ball FighterZ,26/01/2018,Fighting,Anime,Multiplayer,8.9
154,Cat Quest II,24/10/2019,Action,RPG,Open World,8.9
155,F1 2020,10/07/2020,Simulation,Sports,Strategy,8.9
156,Gran Turismo 7,04/03/2022,Simulation,Racing,Local-coop,8.9
157,Thumper,10/10/2016,Action,Rhythm,Single-player,8.8
158,Nuclear Throne,05/12/2015,Roguelike,Shoot 'em up,Coop,8.8
159,Ratchet & Clank,12/04/2016,Platformer,Single-player,Third-Person Shooter,8.8
160,Tomb Raider: Definitive Edition,28/01/2014,Action,Adventure,Stealth,8.8
161,Injustice 2,16/05/2017,Fighting,Local Multiplayer,Multiplayer,8.8
162,NBA 2K23,09/09/2022,Action,Simulation,Sports,8.8
163,F1 2021,16/07/2021,Simulation,Sports,Racing,8.8
164,OCTOPATH TRAVELER II,24/02/2023,RPG,JRPG,Turn-based RPG,8.8
165,Guilty Gear Xrd -SIGN-,16/12/2014,Fighting,Anime,Multiplayer,8.8
166,Mortal Kombat X,14/04/2015,Action,Fighting,Multiplayer,8.8
167,Mortal Kombat XL,01/03/2016,Fighting,Multiplayer,,8.8
168,Hyper Light Drifter,26/07/2016,Action,Adventure,RPG,8.8
169,Valkyria Chronicles Remastered,17/05/2016,RPG,JRPG,Third-Person Shooter,8.8
170,Hatsune Miku: Project DIVA Future Tone,10/01/2017,Rhythm,Single-player,,8.8
171,Sonic Mania Plus,17/07/2018,Action,Platformer,Coop,8.8
172,Cuphead,28/07/2020,Action,Platformer,Shoot 'em up,8.8
173,The Banner Saga 3,26/07/2018,Adventure,RPG,Strategy,8.8
174,BlazBlue: Central Fiction,01/11/2016,Fighting,Anime,Multiplayer,8.8
175,Resident Evil HD Remaster,20/01/2015,Horror,Survival,Zombie,8.8
176,Terraria,11/11/2014,Action,Adventure,Platformer,8.8
177,AVICII Invector,10/12/2019,Action,Arcade,Casual,8.8
178,Door Kickers: Action Squad,24/10/2019,Action,Platformer,Coop,8.8
179,Axiom Verge,31/03/2015,Action,Adventure,Metroidvania,8.8
180,GRIS,26/11/2019,Adventure,Platformer,Cozy,8.8
181,Dragon's Crown Pro,15/05/2018,Action,RPG,Beat 'em up,8.8
182,Resident Evil 4,30/08/2016,Adventure,Beat 'em up,Horror,8.8
183,Geometry Wars 3: Dimensions Evolved,25/11/2014,Shoot 'em up,Single-player,,8.8
184,The Legend of Heroes: Trails of Cold Steel II,04/06/2019,RPG,JRPG,Single-player,8.8
185,Tales of Arise,10/09/2021,Action,RPG,JRPG,8.8
186,The Walking Dead: Season Two,21/10/2014,Adventure,Point & Click,Zombie,8.8
187,Chants of Sennaar,05/09/2023,Action,Adventure,Puzzle,8.8
188,Final Assault,31/03/2020,Strategy,Single-player,,8.8
189,Sound Shapes,15/11/2013,Rhythm,Platformer,Single-player,8.8
190,The Elder Scrolls V: Skyrim Special Edition,28/10/2016,Action,RPG,Open World,8.8
191,Ni no Kuni II: Revenant Kingdom,23/03/2018,RPG,JRPG,Open World,8.8
192,DmC: Devil May Cry - Definitive Edition,10/03/2015,Action,Adventure,Hack and Slash,8.8
193,Wolfenstein II: The New Colossus,27/10/2017,Action,Adventure,Single-player,8.8
194,Final Fantasy XIV: A Realm Reborn,14/04/2014,MMO,MMORPG,RPG,8.8
195,Enter the Gungeon,05/04/2016,Roguelike,Shoot 'em up,Coop,8.8
196,Judgment,25/06/2019,Action,Adventure,Beat 'em up,8.8
197,Disgaea 4 Complete+,29/10/2019,RPG,Strategy,JRPG,8.8
198,N++,28/07/2015,Platformer,Coop,Local Multiplayer,8.8
199,Crypt of the NecroDancer,02/02/2016,Action,Rhythm,Roguelike,8.8
200,Nioh,07/02/2017,Action,RPG,JRPG,8.8
201,Kingdom Hearts III,29/01/2019,Action,RPG,JRPG,8.8
202,Assassin's Creed Origins,27/10/2017,Action,Adventure,Open World,8.8
203,Pixel Ripped 1995,12/05/2020,Action,Adventure,Platformer,8.8
204,Monster Sanctuary,08/12/2020,Adventure,RPG,Strategy,8.8
205,SteamWorld Heist,07/06/2016,Action,Adventure,Strategy,8.8
206,Little Nightmares II,11/02/2021,Adventure,Puzzle,Horror,8.8
207,Atelier Sophie 2: The Alchemist of the Mysterious Dream,25/02/2022,RPG,JRPG,Single-player,8.8
208,Red Matter,11/12/2018,Action,Adventure,Casual,8.8
209,Child of Light,29/04/2014,Adventure,RPG,Strategy,8.8
210,Darkest Dungeon,27/09/2016,RPG,Strategy,Dungeon Crawler,8.8
211,The Messenger,19/03/2019,Action,Metroidvania,Platformer,8.8
212,God of War III Remastered,14/07/2015,Action,Adventure,Hack and Slash,8.8
213,Red Dead Online,01/12/2020,Action,Adventure,Open World,8.8
214,Shadow Tactics: Blades of the Shogun,01/08/2017,Strategy,Single-player,,8.8
215,Tales of Vesperia: Definitive Edition,11/01/2019,RPG,JRPG,Anime,8.8
216,Arise: A simple story,03/12/2019,Action,Cozy,Coop,8.8
217,Final Fantasy VIII Remastered,03/09/2019,RPG,JRPG,Single-player,8.7
218,Lies of P,19/09/2023,Action,RPG,Open World,8.7
219,Dragon Quest Builders,11/10/2016,Action,RPG,Open World,8.7
220,The Wolf Among Us,04/11/2014,Adventure,Point & Click,Single-player,8.7
221,UnMetal,28/09/2021,Action,Adventure,Single-player,8.7
222,Persona 5 Strikers,23/02/2021,Action,Adventure,RPG,8.7
223,Valfaris,05/11/2019,Action,Metroidvania,Platformer,8.7
224,NEO: The World Ends With You,27/07/2021,Action,RPG,JRPG,8.7
225,Oxenfree,31/05/2016,Adventure,Single-player,,8.7
226,Gravity Rush 2,20/01/2017,Action,Adventure,RPG,8.7
227,Resogun,15/11/2013,Shoot 'em up,Coop,Local-coop,8.7
228,Fortnite,21/07/2017,Action,Battle Royale,Coop,8.7
229,Life is Strange: True Colors,10/09/2021,Action,Adventure,Single-player,8.7
230,The Legend of Heroes: Trails from Zero,27/09/2022,RPG,JRPG,Single-player,8.7
231,Mortal Kombat 11,23/04/2019,Action,Fighting,Coop,8.7
232,DARIUSBURST Chronicle Saviours,02/12/2015,Shoot 'em up,Coop,Local-coop,8.7
233,Wandersong,22/01/2019,Adventure,Puzzle,Single-player,8.7
234,Trine 2: Complete Story,15/11/2013,Action,Puzzle,RPG,8.7
235,CrossCode,09/07/2020,Action,RPG,Single-player,8.7
236,Steins;Gate 0,29/11/2016,Action,Adventure,Visual novel,8.7
237,Middle-earth: Shadow of Mordor,30/09/2014,Action,Adventure,Hack and Slash,8.7
238,Sairento VR,10/07/2019,Action,Arcade,Coop,8.7
239,Rocket League,07/07/2015,Sports,Esports,Coop,8.7
